Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
RW,Tyler Toffoli (26943946),Tyler Toffoli,26943946,W/UTIL,6400,ANH@CGY 03/10/2023 09:00PM ET,CGY,11.15
D,Aaron Ekblad (26944038),Aaron Ekblad,26944038,D/UTIL,6300,CHI@FLA 03/10/2023 07:00PM ET,FLA,11.12
C,Nazem Kadri (26943894),Nazem Kadri,26943894,C/UTIL,6200,ANH@CGY 03/10/2023 09:00PM ET,CGY,11.17
RW,Troy Terry (26943948),Troy Terry,26943948,W/UTIL,6200,ANH@CGY 03/10/2023 09:00PM ET,ANH,10.38
D,Brandon Montour (26944040),Brandon Montour,26944040,D/UTIL,6100,CHI@FLA 03/10/2023 07:00PM ET,FLA,11.67
C,Sam Bennett (26943896),Sam Bennett,26943896,C/UTIL,5900,CHI@FLA 03/10/2023 07:00PM ET,FLA,10.18
RW,Sam Reinhart (26943950),Sam Reinhart,26943950,W/UTIL,5900,CHI@FLA 03/10/2023 07:00PM ET,FLA,10.10
C,Trevor Zegras (26943898),Trevor Zegras,26943898,C/UTIL,5800,ANH@CGY 03/10/2023 09:00PM ET,ANH,9.86
C,Mikael Backlund (26943900),Mikael Backlund,26943900,C/UTIL,5600,ANH@CGY 03/10/2023 09:00PM ET,CGY,10.57
LW,Frank Vatrano (26943952),Frank Vatrano,26943952,W/UTIL,5600,ANH@CGY 03/10/2023 09:00PM ET,ANH,9.43
D,Rasmus Andersson (26944042),Rasmus Andersson,26944042,D/UTIL,5500,ANH@CGY 03/10/2023 09:00PM ET,CGY,10.11
C,Elias Lindholm (26943902),Elias Lindholm,26943902,C/UTIL,5400,ANH@CGY 03/10/2023 09:00PM ET,CGY,9.57
LW,Adam Henrique (26943954),Adam Henrique,26943954,W/UTIL,5200,ANH@CGY 03/10/2023 09:00PM ET,ANH,8.62
C,Mason McTavish (26943904),Mason McTavish,26943904,C/UTIL,5100,ANH@CGY 03/10/2023 09:00PM ET,ANH,7.78
D,Gustav Forsling (26944044),Gustav Forsling,26944044,D/UTIL,5100,CHI@FLA 03/10/2023 07:00PM ET,FLA,9.22
D,Cam Fowler (26944046),Cam Fowler,26944046,D/UTIL,5000,ANH@CGY 03/10/2023 09:00PM ET,ANH,7.61
D,Noah Hanifin (26944048),Noah Hanifin,26944048,D/UTIL,4900,ANH@CGY 03/10/2023 09:00PM ET,CGY,8.92
