Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
OF,Mike Tauchman (26944649),Mike Tauchman,26944649,OF,4500,CWS@CHC 03/10/2023 03:03PM ET,CHC,0
RP,Matt Foster (26944655),Matt Foster,26944655,P,4500,CWS@CHC 03/10/2023 03:03PM ET,CWS,2.28
OF,Andrew Benintendi (26944656),Andrew Benintendi,26944656,OF,4500,CWS@CHC 03/10/2023 03:03PM ET,CWS,6.94
1B/3B,Edwin Rios (26944662),Edwin Rios,26944662,1B/3B,4500,CWS@CHC 03/10/2023 03:03PM ET,CHC,6.82
OF,Ian Happ (26944664),Ian Happ,26944664,OF,4500,CWS@CHC 03/10/2023 03:03PM ET,CHC,7.22
C,Carlos Perez (26944668),Carlos Perez,26944668,C,4500,CWS@CHC 03/10/2023 03:03PM ET,CWS,2.86
SP,Michael Kopech (26944669),Michael Kopech,26944669,P,4500,CWS@CHC 03/10/2023 03:03PM ET,CWS,12.7
SP,Justin Steele (26944676),Justin Steele,26944676,P,4500,CWS@CHC 03/10/2023 03:03PM ET,CHC,14.72
SP,Dylan Cease (26944677),Dylan Cease,26944677,P,4500,CWS@CHC 03/10/2023 03:03PM ET,CWS,22.34
RP,Tanner Banks (26944678),Tanner Banks,26944678,P,4500,CWS@CHC 03/10/2023 03:03PM ET,CWS,4.36
